aobtDateKey;adep;ades;aobtDate;aobtTime;aibtDate;aibtTime;aircraftRegistration;aircraftType;airline
20170623;LEMH;LEPA;23/06/2017;10:01:00;23/06/2017;10:30:00;ECLOJ;CRJX;ANE
20170529;LEMH;LEPA;29/05/2017;15:28:00;29/05/2017;16:15:00;ECMJQ;CRJX;ANE
20170623;LEMH;EGCC;23/06/2017;18:26:00;24/06/2017;0:00:00;GFDZR;B738;TOM
20170623;LEMH;EGAA;23/06/2017;17:56:00;24/06/2017;0:00:00;GGDFG;B733;EXS
20170623;LEMH;LEBL;23/06/2017;7:35:00;23/06/2017;8:27:00;ECMQE;A320;VLG
20170529;LEMH;EGBB;29/05/2017;9:58:00;30/05/2017;0:00:00;GTCDY;A321;TCX
20170623;LEMH;EGNM;23/06/2017;10:00:00;24/06/2017;0:00:00;GGDFS;B738;EXS
20170623;LEMH;EGGW;23/06/2017;9:20:00;24/06/2017;0:00:00;GZBAR;A320;MON
20170529;LEMH;LEVC;29/05/2017;15:00:00;29/05/2017;16:07:00;EIFTB;B738;RYR
20170623;LEMH;LEBL;23/06/2017;21:40:00;23/06/2017;22:27:00;ECMEA;A320;VLG
20170623;LEMH;LEBL;23/06/2017;9:30:00;23/06/2017;10:11:00;ECLQF;C550;ORO
20170623;LEMH;EGGD;23/06/2017;9:30:00;24/06/2017;0:00:00;GOOBB;B752;TOM
20170623;LEMH;EGSS;23/06/2017;7:15:00;24/06/2017;0:00:00;GNIKO;A321;TCX
20170623;LEMH;LEMD;23/06/2017;5:01:00;23/06/2017;6:23:00;ECMJP;CRJX;ANE
20170529;LEMH;EGFF;29/05/2017;8:59:00;30/05/2017;0:00:00;GFDZG;B738;TOM
20170623;LEMH;EGKK;23/06/2017;11:15:00;24/06/2017;0:00:00;GOZBT;A321;MON
20170623;LEMH;EGPF;23/06/2017;7:41:00;24/06/2017;0:00:00;GTCDL;A321;TCX
20170623;LEMH;EGGW;23/06/2017;8:11:00;24/06/2017;0:00:00;GEZAJ;A319;EZY
20170623;LEMH;EGKK;23/06/2017;8:45:00;24/06/2017;0:00:00;GTCDG;A321;TCX
20170623;LEMH;LEBL;23/06/2017;11:38:00;23/06/2017;12:18:00;ECLZM;A320;VLG
20170623;LEMH;EGBB;23/06/2017;17:23:00;24/06/2017;0:00:00;GTAWC;B738;TOM
20170624;LEMH;LEMD;24/06/2017;11:20:00;24/06/2017;13:01:00;ECMFL;A320;VLG
20170624;LEMH;LIRF;24/06/2017;6:55:00;25/06/2017;0:00:00;ECKDH;A320;VLG
20170530;LEMH;LEPA;30/05/2017;9:46:00;30/05/2017;10:23:00;ECLJR;CRJX;ANE
20170624;LEMH;LFKC;24/06/2017;12:50:00;25/06/2017;0:00:00;FHTIO;BE20;VLJ
20170530;LEMH;EGKK;30/05/2017;8:55:00;31/05/2017;0:00:00;GEZOV;A320;EZY
20170624;LEMH;LEBL;24/06/2017;20:30:00;24/06/2017;21:14:00;ECMJR;A321;VLG
20170624;LEMH;LFBO;24/06/2017;10:50:00;25/06/2017;0:00:00;OOJOS;B737;JAF
20170530;LEMH;LEBL;30/05/2017;9:16:00;30/05/2017;10:14:00;ECMAX;A320;VLG
20170624;LEMH;EGGW;24/06/2017;9:40:00;25/06/2017;0:00:00;GFDZA;B738;TOM
20170624;LEMH;EGCC;24/06/2017;10:35:00;25/06/2017;0:00:00;GFDZR;B738;TOM
20170624;LEMH;EGKK;24/06/2017;10:42:00;25/06/2017;0:00:00;GZBAF;A321;MON
20170624;LEMH;LEPA;24/06/2017;15:29:00;24/06/2017;15:58:00;ECLOX;CRJX;ANE
20170624;LEMH;LEBL;24/06/2017;16:40:00;24/06/2017;17:27:00;ECMAO;A320;VLG
20170530;LEMH;LEBL;30/05/2017;17:02:00;30/05/2017;17:52:00;ECMBL;A320;VLG
