aobtDateKey;adep;ades;aobtDate;aobtTime;aibtDate;aibtTime;aircraftRegistration;aircraftType;airline
20170103;LEST;LFSB;03/01/2017;9:10:00;31/12/9999;23:59:00;HBJXC;A320;EZS
20170103;LEST;LEPA;03/01/2017;12:53:00;03/01/2017;14:38:00;ECJXZ;CRJ9;ANE
20170103;LEST;LEMD;03/01/2017;5:40:00;03/01/2017;6:51:00;ECLLE;A320;IBS
20170103;LEST;LFPG;03/01/2017;15:32:00;31/12/9999;23:59:00;ECLLM;A320;VLG
20170103;LEST;LEMD;03/01/2017;17:00:00;03/01/2017;18:10:00;ECLUC;A320;IBS
20170103;LEST;LEPA;03/01/2017;9:45:00;03/01/2017;11:31:00;EIDPY;B738;RYR
20170103;LEST;EGSS;03/01/2017;16:20:00;31/12/9999;23:59:00;EIFRJ;B738;RYR
20170103;LEST;LEMD;03/01/2017;5:56:00;03/01/2017;7:00:00;EIDPY;B738;RYR
20170103;LEST;GCXO;03/01/2017;11:55:00;03/01/2017;14:31:00;ECLJX;CRJX;ANE
20170103;LEST;GCLP;03/01/2017;18:22:00;03/01/2017;20:57:00;ECLJX;CRJX;ANE
20170103;LEST;GCXO;03/01/2017;16:11:00;03/01/2017;18:52:00;ECLPR;B738;AEA
20170103;LEST;LEBL;03/01/2017;8:10:00;03/01/2017;9:43:00;ECLZM;A320;VLG
20170103;LEST;LEVT;03/01/2017;19:02:00;03/01/2017;20:16:00;ECJQF;AT73;BCS
20170103;LEST;LSGG;03/01/2017;12:40:00;31/12/9999;23:59:00;HBJYB;A319;EZS
20170103;LEST;LEMD;03/01/2017;21:10:00;03/01/2017;22:24:00;EIDPI;B738;RYR
20170103;LEST;LEMG;03/01/2017;15:40:00;03/01/2017;17:02:00;EIDPY;B738;RYR
20170103;LEST;LEBL;03/01/2017;21:10:00;03/01/2017;22:55:00;ECLOC;A320;VLG
20170103;LEST;LEBL;03/01/2017;20:55:00;03/01/2017;22:39:00;EIDYC;B738;RYR
20170103;LEST;LEPA;03/01/2017;10:30:00;03/01/2017;12:16:00;ECKDG;A320;VLG
20170103;LEST;LEVC;03/01/2017;15:27:00;03/01/2017;16:44:00;CSTRL;A320;EVE
20170104;LEST;LEBL;04/01/2017;8:20:00;04/01/2017;10:05:00;EIDYM;B738;RYR
20170104;LEST;LIME;04/01/2017;15:14:00;31/12/9999;23:59:00;EIFRJ;B738;RYR
20170104;LEST;LEZL;04/01/2017;12:30:00;04/01/2017;13:40:00;EIFIJ;B738;RYR
20170104;LEST;LEMD;04/01/2017;16:43:00;04/01/2017;17:55:00;ECLKG;A320;IBS
20170104;LEST;GCTS;04/01/2017;20:34:00;04/01/2017;23:18:00;EIEST;B738;RYR
20170104;LEST;LSGG;04/01/2017;14:50:00;31/12/9999;23:59:00;HBJXB;A320;EZS
20170104;LEST;LEPA;04/01/2017;15:45:00;04/01/2017;17:32:00;ECMLE;A320;VLG
20170104;LEST;EGKK;04/01/2017;17:45:00;31/12/9999;23:59:00;ECLOP;A320;VLG
20170104;LEST;GCXO;04/01/2017;11:48:00;04/01/2017;14:30:00;ECMLN;CRJX;ANE
20170104;LEST;GCLP;04/01/2017;18:20:00;04/01/2017;20:54:00;ECMLN;CRJX;ANE
20170104;LEST;LEBL;04/01/2017;22:10:00;04/01/2017;23:47:00;EIDYC;B738;RYR
20170104;LEST;LSZH;04/01/2017;11:25:00;31/12/9999;23:59:00;ECLOP;A320;VLG
20170104;LEST;LEMD;04/01/2017;21:55:00;04/01/2017;23:13:00;EIDHW;B738;RYR
20170104;LEST;LEPA;04/01/2017;12:59:00;04/01/2017;14:42:00;ECJZU;CRJ9;ANE
20170104;LEST;LEMD;04/01/2017;8:20:00;04/01/2017;9:21:00;ECLEA;A320;IBS
20170104;LEST;LEVT;04/01/2017;19:08:00;04/01/2017;20:22:00;ECJQF;AT73;BCS
20170104;LEST;LEMD;04/01/2017;5:55:00;04/01/2017;7:00:00;EIFRJ;B738;RYR
20170104;LEST;GCLP;04/01/2017;20:50:00;04/01/2017;23:26:00;EIEVV;B738;RYR
20170104;LEST;LEBL;04/01/2017;8:11:00;04/01/2017;9:45:00;ECKDG;A320;VLG
20170104;LEST;LEVC;04/01/2017;9:40:00;04/01/2017;11:03:00;EIFRJ;B738;RYR
20170104;LEST;GCRR;04/01/2017;20:15:00;04/01/2017;22:46:00;EIEKN;B738;RYR
20170104;LEST;LEBL;04/01/2017;21:08:00;04/01/2017;22:46:00;ECLZZ;A320;VLG
20170104;LEST;LEAL;04/01/2017;14:35:00;04/01/2017;16:05:00;EIDYO;B738;RYR
20170105;LEST;GCXO;05/01/2017;16:10:00;05/01/2017;18:51:00;ECLOP;A320;VLG
20170105;LEST;LEPA;05/01/2017;9:40:00;05/01/2017;11:34:00;EIFRJ;B738;RYR
20170105;LEST;LEMD;05/01/2017;22:52:00;31/12/9999;23:59:00;EIDLW;B738;RYR
20170105;LEST;EGSS;05/01/2017;16:25:00;31/12/9999;23:59:00;EIFRJ;B738;RYR
20170105;LEST;LEBB;05/01/2017;19:23:00;05/01/2017;20:22:00;ECJZS;CRJ9;ANE
20170105;LEST;LEVC;05/01/2017;12:25:00;05/01/2017;13:47:00;EIDLH;B738;RYR
20170105;LEST;LEBL;05/01/2017;20:35:00;05/01/2017;22:11:00;EIDYC;B738;RYR
20170105;LEST;LEMD;05/01/2017;8:41:00;05/01/2017;9:51:00;ECILQ;A320;IBS
20170105;LEST;LEVT;05/01/2017;19:05:00;05/01/2017;20:22:00;ECJQF;AT73;BCS
20170105;LEST;LEPA;05/01/2017;12:55:00;05/01/2017;14:39:00;ECJZT;CRJ9;ANE
20170105;LEST;GCXO;05/01/2017;11:57:00;05/01/2017;14:40:00;ECMLC;CRJX;ANE
20170105;LEST;LEMD;05/01/2017;5:54:00;05/01/2017;7:04:00;EIFRJ;B738;RYR
20170105;LEST;LEBL;05/01/2017;21:05:00;05/01/2017;22:51:00;ECJTQ;A320;VLG
20170105;LEST;GCLP;05/01/2017;18:25:00;05/01/2017;20:56:00;ECMLC;CRJX;ANE
20170105;LEST;LEMD;05/01/2017;5:44:00;05/01/2017;6:58:00;ECJFH;A320;IBS
20170105;LEST;LSGG;05/01/2017;14:05:00;31/12/9999;23:59:00;HBJYL;A319;EZS
20170105;LEST;LFSB;05/01/2017;8:20:00;31/12/9999;23:59:00;HBJZZ;A320;EZS
20170105;LEST;LEMD;05/01/2017;16:45:00;05/01/2017;18:06:00;ECMEG;A320;IBS
20170105;LEST;GCTS;05/01/2017;20:40:00;05/01/2017;23:23:00;EIEKL;B738;RYR
20170105;LEST;LEBL;05/01/2017;8:20:00;05/01/2017;9:58:00;EIESL;B738;RYR
20170105;LEST;LEMD;05/01/2017;12:15:00;05/01/2017;13:29:00;ECJDM;A321;IBS
20170105;LEST;LEBL;05/01/2017;8:05:00;05/01/2017;9:44:00;ECLLJ;A320;VLG
20170106;LEST;LEBL;06/01/2017;13:24:00;06/01/2017;14:58:00;ECLAA;A320;VLG
20170106;LEST;LEPA;06/01/2017;12:55:00;06/01/2017;14:31:00;ECJYV;CRJ9;ANE
20170106;LEST;LEBL;06/01/2017;20:39:00;06/01/2017;22:14:00;EIDLX;B738;RYR
20170106;LEST;LEMD;06/01/2017;12:10:00;06/01/2017;13:28:00;ECMCB;A320;IBS
20170106;LEST;GCRR;06/01/2017;21:15:00;06/01/2017;23:47:00;EIEFX;B738;RYR
20170106;LEST;LEBL;06/01/2017;8:10:00;06/01/2017;9:52:00;ECLVB;A320;VLG
20170106;LEST;GCTS;06/01/2017;21:07:00;31/12/9999;23:59:00;EIESO;B738;RYR
20170106;LEST;EGKK;06/01/2017;17:35:00;31/12/9999;23:59:00;ECLOP;A320;VLG
20170106;LEST;LIRF;06/01/2017;9:35:00;31/12/9999;23:59:00;ECKLB;A320;VLG
20170106;LEST;LFPG;06/01/2017;12:25:00;31/12/9999;23:59:00;ECLOP;A320;VLG
20170106;LEST;LEBL;06/01/2017;8:15:00;06/01/2017;9:50:00;EIDPB;B738;RYR
20170106;LEST;LEMD;06/01/2017;6:00:00;06/01/2017;7:07:00;EIFRJ;B738;RYR
20170106;LEST;LEZL;06/01/2017;12:35:00;06/01/2017;13:51:00;EIFTF;B738;RYR
20170106;LEST;LSZH;06/01/2017;5:45:00;31/12/9999;23:59:00;ECLOP;A320;VLG
20170106;LEST;LFSB;06/01/2017;11:30:00;31/12/9999;23:59:00;HBJYA;A320;EZS
20170106;LEST;EGSS;06/01/2017;21:35:00;31/12/9999;23:59:00;EIFOK;B738;RYR
20170106;LEST;LEMD;06/01/2017;5:35:00;06/01/2017;6:54:00;ECJSK;A320;IBS
20170106;LEST;LEPA;06/01/2017;17:59:00;06/01/2017;19:48:00;ECMLE;A320;VLG
20170106;LEST;LEVC;06/01/2017;9:35:00;06/01/2017;11:01:00;EIFRJ;B738;RYR
20170106;LEST;LEAL;06/01/2017;14:35:00;06/01/2017;16:00:00;EIFOT;B738;RYR
20170106;LEST;LSGG;06/01/2017;12:40:00;31/12/9999;23:59:00;HBJXG;A320;EZS
20170106;LEST;LEMD;06/01/2017;20:35:00;06/01/2017;21:35:00;ECMEH;A320;IBS
20170106;LEST;LEMG;06/01/2017;12:47:00;06/01/2017;14:10:00;ECJYX;A320;VLG
20170106;LEST;LEMD;06/01/2017;17:30:00;06/01/2017;18:41:00;EIFRJ;B738;RYR
20170106;LEST;LEMD;06/01/2017;16:45:00;06/01/2017;17:53:00;ECMEH;A320;IBS
20170106;LEST;LEMD;06/01/2017;8:10:00;06/01/2017;9:21:00;ECMEH;A320;IBS
20170106;LEST;GCLP;06/01/2017;21:21:00;31/12/9999;23:59:00;EIENH;B738;RYR
20170107;LEST;LEMD;07/01/2017;16:50:00;07/01/2017;18:04:00;ECILQ;A320;IBS
20170107;LEST;LEPA;07/01/2017;9:40:00;07/01/2017;11:29:00;EIFRJ;B738;RYR
20170107;LEST;LEPA;07/01/2017;17:08:00;07/01/2017;18:46:00;ECLJX;CRJX;ANE
20170107;LEST;LSZH;07/01/2017;19:25:00;31/12/9999;23:59:00;HBIOM;A321;SWR
20170107;LEST;LEBL;07/01/2017;8:48:00;07/01/2017;10:19:00;ECKDT;A320;VLG
20170107;LEST;GCRR;07/01/2017;13:20:00;07/01/2017;16:02:00;ECLOP;A320;VLG
